year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,"Brown, Hunter",686613,R,CU,638,82.9,2472,18.2,0.782180616,0.775900881,23.00772701,17.65606103,Curveball,78,315,330,5.351665973,5.351665973,-15,5,15,5,30,0,15,5:15,5:30,-0H 15M
,"Civale, Aaron",650644,R,CU,483,78.1,2986,22.2,0.87673282,0.798888652,38.64707983,30.89770676,Curveball,80,285,300,7.749373066,7.749373066,-15,4,45,5,0,0,15,4:45,5:00,-0H 15M
,"Detmers, Reid",672282,L,CU,491,74.7,2417,21.8,0.907278143,0.912101803,325.257108,326.5621451,Curveball,91,435,420,-1.305037165,1.305037165,15,7,15,7,0,0,15,7:15,7:00,+0H 15M
,"García, Yimi",554340,R,CU,355,83.5,2805,13.7,0.566347577,0.56033132,87.03813068,73.10990294,Curveball,56,180,210,13.92822773,13.92822773,-30,3,0,3,30,0,30,3:00,3:30,-0H 30M
,"Lyles, Jordan",543475,R,CU,343,79.5,2437,19.6,0.843146319,0.851989938,28.07220062,20.85587308,Curveball,85,300,315,7.216327546,7.216327546,-15,5,0,5,15,0,15,5:00,5:15,-0H 15M
,"López, Pablo",641154,R,CU,373,82.5,2656,15.9,0.674699398,0.723744675,41.85656162,36.41102136,Curveball,72,270,285,5.445540254,5.445540254,-15,4,30,4,45,0,15,4:30,4:45,-0H 15M
,"Miller, Bobby",676272,R,CU,358,80.6,2812,19.4,0.798809589,0.771682141,37.46524392,30.72195332,Curveball,77,285,300,6.743290599,6.743290599,-15,4,45,5,0,0,15,4:45,5:00,-0H 15M
,"Musgrove, Joe",605397,R,CU,362,81.3,2764,21,0.856858952,0.826082802,43.35459059,33.98115522,Curveball,83,270,285,9.373435367,9.373435367,-15,4,30,4,45,0,15,4:30,4:45,-0H 15M
,"Oviedo, Johan",670912,R,CU,443,80.9,2388,8.3,0.363707347,0.473193949,93.2842204,72.65882462,Curveball,47,180,210,20.62539578,20.62539578,-30,3,0,3,30,0,30,3:00,3:30,-0H 30M
,"Paxton, James",572020,L,CU,328,81.3,1928,9.3,0.438931156,0.66880777,324.3367625,349.7231457,Curveball,67,435,375,-25.38638315,25.38638315,60,7,15,6,15,1,0,7:15,6:15,+1H 00M
,"Pivetta, Nick",601713,R,CU,585,79.4,2795,22.1,0.882910016,0.846339558,25.99398477,22.31737193,Curveball,85,315,315,3.676612845,3.676612845,0,5,15,5,15,0,0,5:15,5:15, 0H 00M
,"Wheeler, Zack",554430,R,CU,344,81.4,2740,16.4,0.674083991,0.657844689,54.5650042,39.5277748,Curveball,66,255,285,15.0372294,15.0372294,-30,4,15,4,45,0,30,4:15,4:45,-0H 30M
,"Bassitt, Chris",605135,R,CU,392,70.6,2270,23.3,0.969364145,0.947867926,39.85925777,39.44559037,Curveball,95,285,285,0.413667406,0.413667406,0,4,45,4,45,0,0,4:45,4:45, 0H 00M
,"Burnes, Corbin",669203,R,CU,521,79.9,2795,17.5,0.721478777,0.734731004,46.18472925,39.29040656,Curveball,73,270,285,6.894322694,6.894322694,-15,4,30,4,45,0,15,4:30,4:45,-0H 15M
,"Flaherty, Jack",656427,R,CU,512,76.2,2494,19.2,0.803846376,0.815907807,59.54306822,51.63277885,Curveball,82,240,255,7.910289367,7.910289367,-15,4,0,4,15,0,15,4:00,4:15,-0H 15M
,"Freeland, Kyle",607536,L,CU,421,80.6,2387,7.9,0.380029784,0.531481881,313.8129294,342.0356154,Curveball,53,450,390,-28.22268605,28.22268605,60,7,30,6,30,1,0,7:30,6:30,+1H 00M
,"Gilbert, Logan",669302,R,CU,389,80.3,2325,17,0.730611701,0.762789556,31.20058385,26.07826561,Curveball,76,300,315,5.122318236,5.122318236,-15,5,0,5,15,0,15,5:00,5:15,-0H 15M
